spkid,full_name,name,diameter,albedo,e,a,i,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q
20164207,164207 (2004 GU9),,0.163,0.219,0.1359,1.001,13.65,366,1,0.00017,0.066,1.50E-07,4.60E-09,1.50E-07
20007482,  7482 (1994 PC1),,1.052,0.277,0.3294,1.349,33.47,572,1.57,0.000596,0.232,5.70E-09,6.40E-09,1.00E-08
20099942, 99942 Apophis (2004 MN4),Apophis,0.34,0.35,0.1911,0.9224,3.34,324,0.886,0.000613,0.238,1.60E-09,1.70E-09,2.70E-09
20433953,433953 (1997 XR2),,0.259,0.115,0.2008,1.076,7.19,408,1.12,0.000622,0.242,3.20E-08,9.00E-10,3.50E-08
20089959, 89959 (2002 NT7),,1.407,0.224,0.5284,1.735,42.36,835,2.29,0.000874,0.34,5.60E-10,7.50E-10,8.70E-10
3545399,       (2010 QG2),,0.038,0.228,0.516,1.667,4.7,786,2.15,0.00115,0.447,5.50E-04,1.50E-03,1.60E-04
3523338,       (2010 KV7),,0.013,0.397,0.2185,1.214,0.31,489,1.34,0.00125,0.487,2.90E-03,3.60E-03,7.50E-04
3515028,       (2010 GH7),,0.008,0.326,0.2999,1.401,3.52,606,1.66,0.00215,0.837,7.60E-06,3.00E-05,3.20E-05
3512647,       (2010 FE7),,0.045,0.288,0.5531,1.95,1.55,994,2.72,0.0023,0.895,2.40E-04,8.80E-04,8.10E-05
3512281,       (2010 FQ),,0.285,0.204,0.3563,1.527,10.56,689,1.89,0.00231,0.899,6.80E-08,1.10E-08,1.10E-07
20371660,371660 (2007 CN26),,0.23,0.16,0.2693,1.292,7.59,537,1.47,0.00234,0.912,1.50E-08,3.60E-09,2.00E-08
20163243,163243 (2002 FB3),,1.682,0.172,0.6016,0.7616,20.28,243,0.665,0.00238,0.928,6.00E-09,3.80E-10,4.40E-09
20450237,450237 (2002 XY38),,0.096,0.134,0.2176,0.9112,2.12,318,0.87,0.00245,0.952,4.20E-08,3.20E-09,3.60E-08
20153201,153201 (2000 WO107),,0.51,0.129,0.7808,0.9111,7.77,318,0.87,0.00292,1.14,2.10E-08,4.80E-09,2.00E-08
20215588,215588 (2003 HF2),,0.488,0.118,0.6755,1.114,3.06,429,1.18,0.00324,1.26,1.40E-08,1.90E-09,1.60E-08
20387746,387746 (2003 MH4),,0.366,0.132,0.5133,1.964,3.9,1.01E+03,2.75,0.00335,1.3,2.30E-08,6.00E-09,4.60E-08
20154276,154276 (2002 SY50),,1.06,0.143,0.6888,1.704,8.75,813,2.23,0.00387,1.5,1.50E-08,7.00E-09,2.40E-08
3656789,       (2014 BX2),,0.11,0.253,0.761,2.215,2.25,1.20E+03,3.3,0.00402,1.56,5.70E-05,3.00E-04,5.40E-05
3753291,       (2016 JW28),,0.031,0.123,0.5792,2.082,0.92,1.10E+03,3,0.00416,1.62,1.10E-03,4.90E-03,1.80E-04
3550046,       (2010 UC7),,0.043,0.129,0.5677,1.885,5.18,946,2.59,0.00426,1.66,1.00E-03,3.90E-03,1.90E-04
3552163,       (2010 WB),,0.057,0.126,0.2881,1.359,5.5,578,1.58,0.00428,1.66,3.60E-05,6.20E-05,4.40E-06
20164121,164121 (2003 YT1),,1.717,0.198,0.292,1.11,44.06,427,1.17,0.0046,1.79,5.20E-10,4.10E-11,5.70E-10
20386454,386454 (2008 XM),,0.367,0.128,0.9093,1.222,5.45,493,1.35,0.00469,1.83,2.70E-08,8.70E-09,3.30E-08
3753798,       (2016 LD9),,0.085,0.269,0.611,1.804,4.19,885,2.42,0.00537,2.09,1.90E-07,9.50E-08,3.70E-07
20297274,297274 (1996 SK),,1.199,0.234,0.7905,2.445,1.97,1.40E+03,3.82,0.00627,2.44,2.60E-08,1.50E-08,6.60E-08
3748270,       (2016 FY3),,0.205,0.125,0.6887,2.626,22.44,1.55E+03,4.26,0.00664,2.58,1.50E-06,1.10E-05,4.30E-07
3669253,       (2014 HQ124),,0.325,0.291,0.2592,0.8509,26.37,287,0.785,0.00684,2.66,1.20E-07,1.50E-08,1.00E-07
3551475,       (2010 VK139),,0.055,0.196,0.2822,0.7799,26.96,252,0.689,0.00691,2.69,1.50E-07,1.70E-08,1.20E-07
3485259,       (2010 AE30),,0.05,0.259,0.4168,1.268,5.97,521,1.43,0.00726,2.82,2.10E-08,3.00E-09,2.50E-08
20068950, 68950 (2002 QF15),,1.65,0.178,0.3443,1.057,25.15,397,1.09,0.00746,2.9,6.90E-10,2.30E-10,6.30E-10
20385343,385343 (2002 LV),,1.359,0.334,0.6052,2.314,29.53,1.29E+03,3.52,0.00784,3.05,6.50E-10,9.40E-10,1.40E-09
20503941,503941 (2003 UV11),,0.26,0.376,0.7626,1.453,5.93,640,1.75,0.00787,3.06,1.50E-08,8.00E-11,2.20E-08
3529053,       (2010 LK34),,0.108,0.271,0.8073,1.829,5.32,904,2.47,0.00837,3.26,1.90E-08,4.70E-09,3.40E-08
3653970,       (2013 WT45),,0.185,0.391,0.4669,1.63,9.34,760,2.08,0.00838,3.26,8.00E-08,2.60E-08,1.20E-07
3753371,       (2016 JU33),,0.174,0.304,0.5335,1.828,3.88,903,2.47,0.0089,3.46,2.60E-08,7.20E-09,4.80E-08
20162567,162567 (2000 RW37),,0.335,0.173,0.2501,1.247,13.75,509,1.39,0.00905,3.52,5.10E-08,2.10E-09,6.30E-08
20423321,423321 (2005 ED318),,0.202,0.212,0.4501,1.85,2.39,919,2.52,0.00938,3.65,6.90E-09,1.10E-09,1.20E-08
20088254, 88254 (2001 FM129),,0.8,0.252,0.6296,1.182,1.52,470,1.29,0.01,3.91,3.00E-08,1.20E-09,3.50E-08
